url,title,color,price,category_name,description,reviews_count,average_rating
https://us.shein.com/Manfinity-Homme-Men-Plus-Solid-Tee-Shorts-p-22039173-cat-6317.html,Manfinity Homme Men Plus Solid Tee & Shorts,White,18.74,Men Plus Size T-Shirt Co-ords,"Color: White
Style: Casual
Pattern Type: Plain
Details: Pocket
Top Type: Tee
Bottom Type: Track Shorts
Neckline: Round Neck
Sleeve Type: Drop Shoulder
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Slight Stretch
Care Instructions: Machine wash, do not dry clean
Sheer: No
",64,4.98
https://us.shein.com/ROMWE-Street-Life-Men-Letter-Graphic-Drop-Shoulder-Tee-p-24808563-cat-1980.html,ROMWE Street Life Men's Short Sleeve T-Shirt With Letter Print,Black,9.24,Men T-Shirts,"Color: Black
Style: Casual
Pattern Type: Car
Pattern Type: Letter
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Drop Shoulder
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
",100,4.95
https://us.shein.com/Manfinity-Men-Contrast-Panel-Drawstring-Sweatpants-p-23321220-cat-2988.html,Manfinity Men Contrast Panel Drawstring Sweatpants,Navy Blue,6.15,Men Sweatpants,"Color: Navy Blue
Pattern Type: Colorblock
Details: Side Stripe
Details: Pocket
Type: Tapered/Carrot
Details: Drawstring
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Long
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Temperature: Late Fall (10-17℃/50-63℉)
Body: Unlined
Sheer: No
",1000,4.87
https://us.shein.com/Manfinity-Homme-Men-s-Plus-Size-Striped-Trim-Short-Sleeve-Polo-Shirt-p-27635772-cat-6307.html,Manfinity Homme Men's Plus Size Striped Trim Short Sleeve Polo Shirt,Apricot,13.19,Men Plus Size Polo Shirts,"Color: Apricot
Style: Casual
Pattern Type: Plain
Details: Contrast Binding
Neckline: Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Corduroy
Composition: 100% Polyester
Care Instructions: Hand wash or professional dry clean
Sheer: No
",24,4.92
https://us.shein.com/Mens-Fitness-Taco-Funny-T-Shirt-Humorous-Gym-Graphic-Novelty-Sarcastic-Tee-Guys-Heather-Green-M-p-30885163-cat-1980.html,Mens Fitness Taco Funny T Shirt Humorous Gym Graphic Novelty Sarcastic Tee Guys (Heather Green) - M,Heather Red,11.99,Men T-Shirts,"Color: Heather Red
Style: Casual
Length: Regular
Features: Great quality
Fabric: Medium Stretch
Material: Composite Fabric
Composition: 100% Cotton
Care Instructions: Machine wash or professional dry clean
Sheer: No
",0,0
https://us.shein.com/Manfinity-Men-Curved-Hem-Tee-p-2757457-cat-1980.html,Manfinity Men Curved Hem Tee,White,6.38,Men T-Shirts,"Color: White
Style: Casual
Pattern Type: Plain
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
",1000,5
https://us.shein.com/Manfinity-Men-Striped-Letter-Patched-Detail-Drawstring-Waist-Swim-Shorts-p-10504951-cat-2025.html,Manfinity Men Striped Letter Patched Detail Drawstring Waist Swim Shorts,White,9.62,Men Beach Shorts,"Color: White
Style: Boho
Pattern Type: Striped
Details: Patched
Details: Drawstring
Type: Bottoms
Bottom Type: Shorts
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Body: Lined
Lining: 100% Polyester
",1000,4.89
https://us.shein.com/Manfinity-EMRG-Men-s-Extra-Loose-Fit-Slogan-Graphic-T-Shirt-p-24347927-cat-1980.html,Manfinity EMRG Men's Extra Loose Fit Slogan Graphic T-Shirt,Black,5.11,Men T-Shirts,"Color: Black
Style: Casual
Pattern Type: Slogan
Neckline: Round Neck
Sleeve Length: Short Sleeve
Length: Regular
Fit Type: Oversized
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
",500,4.86
https://us.shein.com/Manfinity-Homme-Men-Plus-Flap-Pocket-Side-Cargo-Shorts-p-16499638-cat-6325.html,Manfinity Homme Men Plus Flap Pocket Side Cargo Shorts,Dark Grey,13.49,Men Plus Size Shorts,"Color: Dark Grey
Style: Street
Pattern Type: Plain
Details: Drawstring
Details: Pocket
Type: Straight Leg
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Short
Fit Type: Loose
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Hand wash or professional dry clean
Sheer: No
",100,4.83
https://us.shein.com/Manfinity-AFTRDRK-Men-Plus-Geo-Print-Tee-p-23452677-cat-6311.html,Manfinity AFTRDRK Men Plus Geo Print Tee,White,5.71,Men Plus Size T-Shirts,"Color: White
Style: Street
Pattern Type: Tribal
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Knitted Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No
",76,4.95
